Number,Title,URL,Date
1,KSU student helps bring a fresh approach to music education using colors,https://www.kennesaw.edu/news/stories/2026/ksu-student-approach-to-music-education-using-colors.php,"June 23, 2026"
2,"AOPA announces 2026 Howard R. Thranhardt Award recipients, including Kennesaw State's Dr. Mark Geil",https://www.kennesaw.edu/news/stories/2026/2026-6-23-aopa-mark-geil.php,"June 23, 2026"
3,Kennesaw State experts offer insight on World Cup topics,https://www.kennesaw.edu/news/stories/2026/kennesaw-state-experts-examine-atlanta-world-cup-moment.php,"June 23, 2026"
4,"Kennesaw State celebrates Juneteenth through art, music, and community",https://kennesaw.edu/current-students/student-affairs/news/2026/kennesaw-state-celebrates-juneteenth.php,"June 22, 2026"
5,KSU master's graduates benefit from NIH-funded bridge program,https://www.kennesaw.edu/news/stories/2026/ksu-master-graduates-benefit-nih-funded-bridge-program.php,"June 22, 2026"
6,Twins who grew up at Kennesaw State graduate as nurses,https://www.kennesaw.edu/news/stories/2026/twins-who-grew-up-at-ksu-graduate-nurses.php,"June 18, 2026"
7,Ph.D. student selected for research appointment at Savannah River National Laboratory,https://www.kennesaw.edu/news/stories/2026/student-selected-research-appointment-savannah-river-lab.php,"June 17, 2026"
8,KSU study explores how childhood trauma affects body and mind,https://www.kennesaw.edu/news/stories/2026/study-explores-how-childhood-trauma-affects-body-and-mind.php,"June 16, 2026"
9,Bagwell College of Education hosts 2026 Georgia Elementary Science Olympiad,https://www.kennesaw.edu/news/stories/2026/bagwell-college-hosts-elementary-science-olympiad.php,"June 15, 2026"
10,"Kennesaw State, Oglethorpe expand pathways to physics and engineering degrees",https://www.kennesaw.edu/news/stories/2026/ksu-and-oglethorpe-expand-pathways-physics-and-engineering.php,"June 12, 2026"
