Number,Title,URL,Date
1,Dr. Bobbie Bailey School of Music enters educational partnership with Atlanta Symphony,https://www.kennesaw.edu/news/stories/2026/bailey-school-music-education-partnership-atlanta-symphony.php,"September 10, 2026"
2,Kennesaw State student publishes study on alcohol's impact on Ugandan women,https://www.kennesaw.edu/news/stories/2026/student-publishes-study-alcohol-impact-ugandan-women.php,"September 10, 2026"
3,Power restored on Kennesaw Campus,https://www.kennesaw.edu/news/stories/2026/power-outage-on-kennesaw-campus.php,"September 08, 2026"
4,Kennesaw State student developing robotic rehabilitation arm inspired by family experience,https://www.kennesaw.edu/news/stories/2026/student-robotic-rehabilitation-arm-inspired-experience.php,"September 08, 2026"
5,Research into muscular degeneration wins top prize at Birla Carbon Symposium,https://www.kennesaw.edu/news/stories/2026/research-muscular-degeneration-birla-carbon-symposium.php,"September 04, 2026"
6,Student explores link between social media use and mental health in youth,https://www.kennesaw.edu/news/stories/2026/ksu-student-explores-link-social-media-mental-health.php,"September 03, 2026"
7,Physics and mathematics double major explores theory and experiment in summer research experience,https://www.kennesaw.edu/news/stories/2026/physics-mathematics-major-explores-theory-summer-research.php,"August 31, 2026"
8,Kennesaw State architecture alumnus finds early career success,https://www.kennesaw.edu/news/stories/2026/ksu-architecture-alumnus-finds-career-success.php,"August 28, 2026"
9,"Brain research leads to publications on THC exposure, Alzheimer's drugs",https://www.kennesaw.edu/news/stories/2026/brain-research-publications-thc-exposure-alzheimers-drugs.php,"August 27, 2026"
10,Student research into AI-powered crop monitoring system aims to prevent plant loss,https://www.kennesaw.edu/news/stories/2026/student-research-ai-powered-crop-monitoring-system.php,"August 26, 2026"
