Number,Title,URL,Date
1,"Kennesaw State researcher developing safer, more efficient computing systems for intelligent vehicles",https://www.kennesaw.edu/news/stories/2026/ksu-researcher-developing-safer-computing-vehicles.php,"September 24, 2026"
2,Kennesaw State rises in U.S. News rankings of top universities,https://www.kennesaw.edu/news/stories/2026/kennesaw-state-rises-in-usnews-rankings-of-top-universities.php,"September 23, 2026"
3,"Recent NIH grants aim to improve parasite research, acquire crucial instruments",https://www.kennesaw.edu/news/stories/2026/nih-grants-aim-improve-parasite-research.php,"September 21, 2026"
4,"Hornet Hub gives Kennesaw State competition teams space to build, innovate",https://www.kennesaw.edu/news/stories/2026/hornet-hub-gives-ksu-competition-teams-space-innovate.php,"September 18, 2026"
5,"$500,000 Gift from Dr. Audrey Morgan honors KSU Provost - Dr. Ivan Pulinkala",https://campus.kennesaw.edu/colleges-departments/arts/news/morgan-pulinkala-dance-scholarship.php,"September 17, 2026"
6,KSU associate professor honored with 2026 Georgia Civic Excellence Award,https://www.kennesaw.edu/news/stories/2026/ksu-georgia-civic-excellence-award.php,"September 17, 2026"
7,Construction management gala celebrates 25 years of student support,https://www.kennesaw.edu/news/stories/2026/construction-management-gala-25-years-support.php,"September 16, 2026"
8,Kennesaw State launches Presidential Fellows Cohort for high-achieving Georgia students ,https://www.kennesaw.edu/news/stories/2026/ksu-launches-presidential-fellows-cohort-georgia-students.php,"September 15, 2026"
9,Kennesaw State students expand research horizons in India,https://www.kennesaw.edu/news/stories/2026/kennesaw-state-students-expand-research-india.php,"September 14, 2026"
10,Kennesaw State software engineering student develops AI-powered navigation system,https://www.kennesaw.edu/news/stories/2026/software-engineering-student-develops-ai-powered-navigation.php,"September 11, 2026"
