Number,Title,URL,Date
1,Kennesaw State researchers examine Atlanta's World Cup moment,https://www.kennesaw.edu/news/stories/2026/ksu-researchers-examine-world-cup-moment.php,"June 11, 2026"
2,'Triple Owl' turns passion for teaching into doctoral success,https://www.kennesaw.edu/news/stories/2026/triple-owl-turns-passion-for-teaching-into-doctoral-success.php,"June 11, 2026"
3,Kennesaw State architecture student wins Super South competition with community-focused design,https://www.kennesaw.edu/news/stories/2026/architecture-student-wins-super-south-competition.php,"June 10, 2026"
4,Professor named American Society of Mechanical Engineers Fellow,https://www.kennesaw.edu/news/stories/2026/professor-named-mechanical-engineers-fellow.php,"June 09, 2026"
5,DECAL leadership visits Wellstar College to highlight impact of two-generation grant,https://www.kennesaw.edu/news/stories/2026/decal-feature-060826.php,"June 08, 2026"
6,Associate professor earns Associated Schools of Construction regional educator award,https://www.kennesaw.edu/news/stories/2026/associated-schools-construction-regional-educator-award.php,"June 08, 2026"
7,Wellstar College Department of Exercise Science and Sport Management hosts NSCA Georgia State Clinic at KSU,https://www.kennesaw.edu/news/stories/2026/wellstar-exercise-science-sport-management-hosts-nsca-clinic.php,"June 06, 2026"
8,First-year student earns top research award for restaurant franchise study,https://www.kennesaw.edu/news/stories/2026/first-year-student-earns-top-research-award-restaurant-franchise-study.php,"June 05, 2026"
9,KSU's Megan Stoltzfus named Conference USA SAAC Choice Award recipient,https://ksuowls.com/news/2026/6/2/general-ksus-megan-stoltzfus-named-conference-usa-saac-choice-award-recipient.aspx,"June 03, 2026"
10,Architecture students earn AIA Georgia Design and Honor Awards,https://www.kennesaw.edu/news/stories/2026/architecture-students-earn-aia-georgia-design-awards.php,"June 01, 2026"
