Number,Title,URL,Date
1,KSU's Summer Undergraduate Research Program helps undergrads transform curiosity into societal impact,https://www.kennesaw.edu/news/stories/2026/summer-undergraduate-research-program-societal-impact.php,"August 25, 2026"
2,Cobb Chamber names KSU President Kathy S. Schwaig as its 2028 Board Chairwoman,https://www.kennesaw.edu/news/stories/2026/cobb-chamber-names-kathy-schwaig-2028-board-chair.php,"August 24, 2026"
3,Two KSU students trade the Gold Dome for Capitol Hill,https://www.kennesaw.edu/news/stories/2026/two-ksu-students-trade-gold-dome-for-capitol-hill.php,"August 24, 2026"
4,Kennesaw State student explores the mental effects of workplace automation,https://www.kennesaw.edu/news/stories/2026/ksu-student-explores-mental-effects-workplace-automation.php,"August 21, 2026"
5,"Launch '26 celebrates new school year, sustained momentum",https://www.kennesaw.edu/news/stories/2026/launch-26-celebrates-new-school-year-sustained-momentum.php,"August 20, 2026"
6,"KSU, Technovative AI sign pilot agreement with Moultrie Police Department for AI-powered behavioral health detection tool",https://www.kennesaw.edu/news/stories/2026/ksu-technovative-ai-sign-pilot-agreement-moultrie-police.php,"August 20, 2026"
7,Kennesaw State's economic impact tops $2.55 billion,https://www.kennesaw.edu/news/stories/2026/kennesaw-state-economic-impact-tops-2.55-billion.php,"August 13, 2026"
8,Kennesaw State adds more on-campus housing for students,https://www.kennesaw.edu/news/stories/2026/kennesaw-state-adds-on-campus-housing-for-students.php,"August 13, 2026"
9,Research Matters: Losing weight through personalized step counts,https://researchmatters-ksu.podbean.com/e/episode-13-%E2%80%94-losing-weight-through-personalized-step-counts/,"August 12, 2026"
10,"KSU bolsters infrastructure to support student experience, University's growth",https://www.kennesaw.edu/news/stories/2026/ksu-bolsters-infrastructure-support-student-experience.php,"August 12, 2026"
