Number,Title,URL,Date
1,"Marietta Campus to feature new dining, transportation, and campus upgrades this fall",https://www.kennesaw.edu/news/stories/2026/marietta-campus-feature-upgrades-this-fall.php,"August 11, 2026"
2,"Kennesaw State is harnessing momentum to advance research, elevate the student experience, and build for the future",https://www.kennesaw.edu/news/stories/2026/ksu-momentum-advance-research-elevate-student-experience.php,"August 10, 2026"
3,Kennesaw State professor earns national award for contribution to education,https://www.kennesaw.edu/news/stories/2026/ksu-professor-earns-national-award-contribution-education.php,"August 07, 2026"
4,"Kennesaw State appoints Tracy Fasolino as associate dean, Wellstar School of Nursing director",https://www.kennesaw.edu/news/stories/2026/ksu-appoints-wellstar-school-nursing-director.php,"August 06, 2026"
5,Kennesaw State expands on-campus residential housing with the opening of The Summit II,https://www.kennesaw.edu/news/stories/2026/ksu-expands-on-campus-housing-the-summit-ii.php,"August 04, 2026"
6,Kennesaw State student explores how children respond when adults lie,https://www.kennesaw.edu/news/stories/2026/student-explores-how-children-respond-adults-lie.php,"July 31, 2026"
7,Research consortium leads to opportunities for Kennesaw State students,https://www.kennesaw.edu/news/stories/2026/research-consortium-leads-opportunities-ksu-students.php,"July 31, 2026"
8,Mechatronics engineering student uses AI-powered system to keep waterways clean,https://www.kennesaw.edu/news/stories/2026/mechatronics-engineering-student-ai-powered-system-waterways.php,"July 30, 2026"
9,Kennesaw State professors use NSF grant to strengthen semiconductor education through interactive learning,https://www.kennesaw.edu/news/stories/2026/ksu-nsf-grant-semiconductor-education-interactive-learning.php,"July 29, 2026"
10,Greece study abroad challenges KSU students to tell stories of the past with bones,https://www.kennesaw.edu/news/stories/2026/greece-study-abroad-challenges-students-stories-of-past.php,"July 28, 2026"
